Charm++> Running on MPI version: 3.1
Charm++> level of thread support used: MPI_THREAD_SINGLE (desired: MPI_THREAD_SINGLE)
Charm++> Running in non-SMP mode: 576 processes (PEs)
Converse/Charm++ Commit ID: v70000
Charm++> work stealing seed load balancer.
Isomalloc> Synchronized global address space.
CharmLB> Load balancer assumes all CPUs are same.
Charm++> Running on 16 hosts (2 sockets x 18 cores x 1 PUs = 36-way SMP)
Charm++> cpu topology info is gathered in 0.156 seconds.
UTS - Unbalanced Tree Search 2.1 (Charm++)
Tree type:  1 (Geometric)
Tree shape parameters:
  root branching factor b_0 = 4.0, root seed = 19
  GEO parameters: gen_mx = 15, shape function = 3 (Fixed branching factor)
Random number generator: SHA-1 (state size = 20B)
Compute granularity: 1
Execution strategy:  
[182] 1563025809 ns 2.7067 Gnodes/s ( nodes: 4230646601 )
[183] 1533419879 ns 2.75896 Gnodes/s ( nodes: 4230646601 )
[184] 1546500226 ns 2.73563 Gnodes/s ( nodes: 4230646601 )
[185] 1554731662 ns 2.72114 Gnodes/s ( nodes: 4230646601 )
[186] 1536702261 ns 2.75307 Gnodes/s ( nodes: 4230646601 )
[187] 1529953151 ns 2.76521 Gnodes/s ( nodes: 4230646601 )
[188] 1536984431 ns 2.75256 Gnodes/s ( nodes: 4230646601 )
[189] 1530388960 ns 2.76443 Gnodes/s ( nodes: 4230646601 )
[190] 1534238341 ns 2.75749 Gnodes/s ( nodes: 4230646601 )
[191] 1549188288 ns 2.73088 Gnodes/s ( nodes: 4230646601 )
[192] 1544613318 ns 2.73897 Gnodes/s ( nodes: 4230646601 )
[193] 1558002023 ns 2.71543 Gnodes/s ( nodes: 4230646601 )
[194] 1552790328 ns 2.72454 Gnodes/s ( nodes: 4230646601 )
[195] 1576116863 ns 2.68422 Gnodes/s ( nodes: 4230646601 )
[196] 1536690943 ns 2.75309 Gnodes/s ( nodes: 4230646601 )
[197] 1538526897 ns 2.7498 Gnodes/s ( nodes: 4230646601 )
[198] 1596960458 ns 2.64919 Gnodes/s ( nodes: 4230646601 )
[199] 1543603234 ns 2.74076 Gnodes/s ( nodes: 4230646601 )
[Partition 0][Node 0] End of program
