places=9216   b=4   r=29   d=13   w=3   n=511   l=32   m=1024   z=3
[136] 1602863492 ns 0.063749085627062 Gnodes/s ( nodes: 102181082 )
[137] 1588216616 ns 0.06433699343692 Gnodes/s ( nodes: 102181082 )
[138] 1435088169 ns 0.071201954142791 Gnodes/s ( nodes: 102181082 )
[139] 1371734180 ns 0.074490439539824 Gnodes/s ( nodes: 102181082 )
[140] 1737772361 ns 0.058800038654775 Gnodes/s ( nodes: 102181082 )
[141] 1312025979 ns 0.077880380141467 Gnodes/s ( nodes: 102181082 )
[142] 1231397798 ns 0.082979750464033 Gnodes/s ( nodes: 102181082 )
[143] 1259847485 ns 0.08110591418135 Gnodes/s ( nodes: 102181082 )
[144] 1476007986 ns 0.069228000775871 Gnodes/s ( nodes: 102181082 )
[145] 1314299578 ns 0.077745655336427 Gnodes/s ( nodes: 102181082 )
[146] 1303068213 ns 0.078415758270055 Gnodes/s ( nodes: 102181082 )
[147] 1102918140 ns 0.092646116057172 Gnodes/s ( nodes: 102181082 )
[148] 1269297743 ns 0.080502059161071 Gnodes/s ( nodes: 102181082 )
[149] 1207119186 ns 0.084648710073605 Gnodes/s ( nodes: 102181082 )
[150] 1302441790 ns 0.078453473149076 Gnodes/s ( nodes: 102181082 )
[151] 1343044274 ns 0.076081692895852 Gnodes/s ( nodes: 102181082 )
[152] 1350325793 ns 0.075671428724609 Gnodes/s ( nodes: 102181082 )
[153] 1499127636 ns 0.068160361763887 Gnodes/s ( nodes: 102181082 )
[154] 1369432208 ns 0.074615655600237 Gnodes/s ( nodes: 102181082 )
[155] 1114006873 ns 0.091723924220349 Gnodes/s ( nodes: 102181082 )
[156] 1074823845 ns 0.095067747589839 Gnodes/s ( nodes: 102181082 )
[157] 1084648699 ns 0.094206614634035 Gnodes/s ( nodes: 102181082 )
[158] 1448695697 ns 0.070533157661474 Gnodes/s ( nodes: 102181082 )
[159] 1132448030 ns 0.090230261604146 Gnodes/s ( nodes: 102181082 )
[160] 1108665858 ns 0.092165805650705 Gnodes/s ( nodes: 102181082 )
[161] 1317962796 ns 0.077529564802677 Gnodes/s ( nodes: 102181082 )
[162] 1313258135 ns 0.077807309375624 Gnodes/s ( nodes: 102181082 )
[163] 1547279088 ns 0.066039205720849 Gnodes/s ( nodes: 102181082 )
[164] 1690729887 ns 0.06043607721474 Gnodes/s ( nodes: 102181082 )
[165] 1364577837 ns 0.074881094525647 Gnodes/s ( nodes: 102181082 )
[166] 1168625406 ns 0.087436984918673 Gnodes/s ( nodes: 102181082 )
[167] 1006262064 ns 0.101545199462076 Gnodes/s ( nodes: 102181082 )
[168] 992530678 ns 0.102950049066393 Gnodes/s ( nodes: 102181082 )
[169] 1125754491 ns 0.090766754933603 Gnodes/s ( nodes: 102181082 )
[170] 1253711033 ns 0.081502897645793 Gnodes/s ( nodes: 102181082 )
[171] 1088833591 ns 0.09384453496347 Gnodes/s ( nodes: 102181082 )
[172] 1195751774 ns 0.085453422877381 Gnodes/s ( nodes: 102181082 )
[173] 1387376259 ns 0.073650591421862 Gnodes/s ( nodes: 102181082 )
[174] 1417599138 ns 0.07208037819786 Gnodes/s ( nodes: 102181082 )
[175] 1355626519 ns 0.075375540805572 Gnodes/s ( nodes: 102181082 )
[176] 1547950390 ns 0.066010566398061 Gnodes/s ( nodes: 102181082 )
[177] 1599761541 ns 0.063872695636956 Gnodes/s ( nodes: 102181082 )
[178] 1631138254 ns 0.062644035077605 Gnodes/s ( nodes: 102181082 )
[179] 1599121081 ns 0.063898277131149 Gnodes/s ( nodes: 102181082 )
[180] 1526341330 ns 0.066945105915464 Gnodes/s ( nodes: 102181082 )
[181] 1808551103 ns 0.056498863554645 Gnodes/s ( nodes: 102181082 )
[182] 1813154512 ns 0.056355418870116 Gnodes/s ( nodes: 102181082 )
[183] 1699450725 ns 0.060125945693424 Gnodes/s ( nodes: 102181082 )
[184] 1734102735 ns 0.05892446850907 Gnodes/s ( nodes: 102181082 )
[185] 1856674392 ns 0.055034465084603 Gnodes/s ( nodes: 102181082 )
[186] 2152717298 ns 0.047466094175455 Gnodes/s ( nodes: 102181082 )
[187] 1759525157 ns 0.058073100912191 Gnodes/s ( nodes: 102181082 )
[188] 1998117339 ns 0.051138679398648 Gnodes/s ( nodes: 102181082 )
[189] 1661377527 ns 0.061503830610079 Gnodes/s ( nodes: 102181082 )
